events,mean,std,count
double,-0.032477551020408155,0.4083631136752488,49
field_out,0.07953812949640289,0.42825538456062817,139
force_out,-0.18656666666666666,0.19104748973313762,3
grounded_into_double_play,-0.5267,,1
hit_by_pitch,-0.5049,0.20322248891301373,2
home_run,0.10606666666666666,0.18371285565613893,3
intent_walk,-0.5670000000000001,0.07923465151056071,3
sac_bunt,0.4019,,1
sac_fly,0.36873333333333336,0.3299784396997275,6
single,0.1472846153846154,0.46741766906466664,26
strikeout,-0.001953389830508476,0.49808637885448825,118
strikeout_double_play,0.6486,,1
walk,0.11931904761904762,0.5156890580757436,21
